,SOEF,HPFFRE,HPFFRE
,AWS,AWS,AWS+FRAWS
Country,,,
AT,86.3%,85.4%,94.3%
BE,98.1%,100.0%,-
BG,57.9%,-,-
CY,23.8%,-,-
CZ,86.3%,95.0%,-
DE,95.3%,95.5%,99.2%
DK,93.5%,96.2%,-
EE,89.3%,77.3%,90.3%
ES,79.9%,94.7%,-
FI,87.6%,79.3%,89.9%
FR,94.3%,76.4%,94.7%
GB,100.0%,100.0%,-
GR,92.1%,-,-
HR,90.5%,-,-
HU,86.0%,96.8%,-
IE,83.8%,83.8%,99.4%
IT,88.4%,93.8%,-
LT,88.3%,87.1%,98.8%
LU,99.3%,-,-
LV,93.9%,97.1%,-
NL,80.1%,-,-
PL,87.3%,-,-
PT,65.6%,59.3%,-
RO,67.4%,-,-
SE,70.6%,96.2%,-
SI,91.3%,90.0%,-
SK,92.0%,94.9%,98.0%
