,Average density ($kg/m^3$),Average density ($kg/m^3$),Average density ($kg/m^3$),Average density ($kg/m^3$),Fraction missing,Fraction missing,Fraction missing,Fraction missing
Year,1990,2000,2005,2010,1990,2000,2005,2010
Country,,,,,,,,
AT,431,432,433,434,8\%,8\%,7\%,8\%
BE,,473,476,479,,13\%,14\%,14\%
BG,510,509,509,508,17\%,20\%,20\%,20\%
CZ,426,428,428,428,2\%,3\%,4\%,5\%
DE,464,471,,476,29\%,30\%,,31\%
DK,481,470,497,499,24\%,20\%,16\%,17\%
EE,436,436,436,437,1\%,1\%,1\%,1\%
ES,483,487,489,489,37\%,40\%,41\%,42\%
FI,425,426,428,428,0\%,0\%,0\%,0\%
FR,505,505,505,507,27\%,27\%,29\%,32\%
GB,487,476,473,470,19\%,19\%,19\%,19\%
HR,548,551,552,551,23\%,24\%,24\%,25\%
HU,541,541,541,538,31\%,33\%,36\%,37\%
IE,,,429,426,,,22\%,20\%
IT,494,494,505,505,50\%,48\%,40\%,40\%
LT,417,418,420,419,56\%,56\%,56\%,56\%
LV,437,443,443,438,0\%,0\%,0\%,0\%
NL,469,479,478,483,19\%,22\%,20\%,22\%
PL,,,,448,,,,4\%
PT,,478,482,,,33\%,37\%,
RO,493,493,493,493,13\%,13\%,13\%,13\%
SE,,,422,423,,,1\%,1\%
SI,481,481,484,485,12\%,13\%,15\%,16\%
SK,486,489,491,493,6\%,7\%,7\%,6\%
